id;sku;nazwa;kategoria;szerokość;wysokość;głębokość;średnica;jednostka;reguła;raw
276677128;1421295;"Biurko gamingowe Huzaro Hero 9.1";"Dom|Wyposażenie i akcesoria|Biurka i stanowiska gamingowe";119;;85;;cm;product-dims-mm;"Szerokość produktu: 1190 mm; Głębokość produktu: 850 mm"
276677130;1421296;"Biurko gamingowe Huzaro Hero 4.7 Black";"Dom|Wyposażenie i akcesoria|Biurka i stanowiska gamingowe";;75;;;cm;product-dims-mm;"Wysokość produktu: 750 mm"
276677132;1421299;"Biurko gamingowe Huzaro Hero 1.7 RGB Black";"Dom|Wyposażenie i akcesoria|Biurka i stanowiska gamingowe";;75;;;cm;product-dims-mm;"Wysokość produktu: 750 mm"
276677134;1421300;"Biurko gamingowe Huzaro Hero 3.3 RGB";"Dom|Wyposażenie i akcesoria|Biurka i stanowiska gamingowe";;74;;;cm;product-dims-mm;"Wysokość produktu: 740 mm"
276677136;1421301;"Biurko elektryczne Huzaro Hero 7.9 Black";"Dom|Wyposażenie i akcesoria|Biurka i stanowiska gamingowe";;118;;;cm;height-only;"wysokość: 118 cm"
276677138;1421302;"Biurko elektryczne Huzaro Hero 7.9 White";"Dom|Wyposażenie i akcesoria|Biurka i stanowiska gamingowe";;118;;;cm;height-only;"wysokość: 118 cm"
276677140;1421303;"Biurko gamingowe Huzaro Hero 6.0 White";"Dom|Wyposażenie i akcesoria|Biurka i stanowiska gamingowe";147;74;112;;cm;product-dims-mm;"Szerokość produktu: 1470 mm; Wysokość produktu: 740 mm; Głębokość produktu: 1120 mm"
276677142;1421305;"Biurko gamingowe HZ-Hero 5.0 Black";"Dom|Wyposażenie i akcesoria|Biurka i stanowiska gamingowe";116;69.5;59;;cm;product-dims-mm;"Szerokość produktu: 1160 mm; Wysokość produktu: 695 mm; Głębokość produktu: 590 mm"
276677144;1421307;"Biurko gamingowe Huzaro Hero 8.2 Balck";"Dom|Wyposażenie i akcesoria|Biurka i stanowiska gamingowe";;72;;;cm;product-dims-mm;"Wysokość produktu: 720 mm"
276677146;1421310;"Biurko gamingowe Huzaro Hero 3.3 Black";"Dom|Wyposażenie i akcesoria|Biurka i stanowiska gamingowe";;74;;;cm;product-dims-mm;"Wysokość produktu: 740 mm"
276677148;1421313;"Biurko gamingowe HZ-Hero 5.0 White";"Dom|Wyposażenie i akcesoria|Biurka i stanowiska gamingowe";120;;15;;cm;blat-sxg;"blatu (SxG): 1200 x 150 mm"
276677150;1421314;"Biurko gamingowe Huzaro Hero 1.4 Black";"Dom|Wyposażenie i akcesoria|Biurka i stanowiska gamingowe";100;75;50;;cm;product-dims-mm;"Szerokość produktu: 1000 mm; Wysokość produktu: 750 mm; Głębokość produktu: 500 mm"
276677152;1431204;"Fotel gamingowy Huzaro Combat 7.9 Black";"Dom|Wyposażenie i akcesoria|Fotele gamingowe";70;;;;cm;product-dims-mm;"Szerokość produktu: 700 mm"
276677154;1431209;"Biurko elektryczne MA-Leader 7.0 White";"Dom|Wyposażenie i akcesoria|Biurka i stanowiska gamingowe";;;;;;NO_MATCH;""
276677156;1431212;"Biurko elektryczne MA-Leader 7.6 Black";"Dom|Wyposażenie i akcesoria|Biurka i stanowiska gamingowe";160;;80;;cm;product-dims-mm;"Szerokość produktu: 1600 mm; Głębokość produktu: 800 mm"
276677158;1431213;"Biurko elektryczne MA-Leader 7.6 White";"Dom|Wyposażenie i akcesoria|Biurka i stanowiska gamingowe";160;;80;;cm;product-dims-mm;"Szerokość produktu: 1600 mm; Głębokość produktu: 800 mm"
276677160;1431214;"Biurko elektryczne MA-Leader 8.2 Black";"Dom|Wyposażenie i akcesoria|Biurka i stanowiska gamingowe";;;;;;NO_MATCH;""
276677162;1431216;"Biurko gamingowe Huzaro Hero 2.6 Black";"Dom|Wyposażenie i akcesoria|Biurka i stanowiska gamingowe";;;;;;NO_MATCH;""
276677167;1433339;"Fotel gamingowy Huzaro Force 4.7 RGB Mesh";"Dom|Wyposażenie i akcesoria|Fotele gamingowe";67;;50;;cm;product-dims-mm;"Szerokość produktu: 670 mm; Głębokość produktu: 500 mm"
276677172;1433340;"Fotel gamingowy Huzaro Force 4.7 Carbon Mesh";"Dom|Wyposażenie i akcesoria|Fotele gamingowe";67;;50;;cm;product-dims-mm;"Szerokość produktu: 670 mm; Głębokość produktu: 500 mm"
276677177;1433345;"Fotel gamingowy dla dziecka HZ-Ranger 1.0 red mesh";"Dom|Wyposażenie i akcesoria|Fotele gamingowe";54;;;;cm;product-dims-mm;"Szerokość produktu: 540 mm"
276677182;1440436;"Fotel gamingowy Huzaro Force 4.7 Grey Mesh";"Dom|Wyposażenie i akcesoria|Fotele gamingowe";67;;50;;cm;product-dims-mm;"Szerokość produktu: 670 mm; Głębokość produktu: 500 mm"
276677202;1494441;"Fotel gamingowy Aerocool AC-280 DUKE AEROAC-280DUKE-BK/BL (kolor niebieski)";"Dom|Wyposażenie i akcesoria|Fotele gamingowe";69;;70;;cm;product-dims-mm;"Szerokość produktu: 690 mm; Głębokość produktu: 700 mm"
276677207;1494442;"FOTEL AEROCOOL AC-280 DUKE CZARNY";"Dom|Wyposażenie i akcesoria|Fotele gamingowe";69;;70;;cm;product-dims-mm;"Szerokość produktu: 690 mm; Głębokość produktu: 700 mm"
276677213;1494443;"Fotel AEROCOOL ROYAL AeroWeave Ash Grey";"Dom|Wyposażenie i akcesoria|Fotele gamingowe";52;133;;;cm;chair-max-seat;"Wysokość (max.): 133 cm; Szerokość siedziska: 52 cm"
276677217;1494444;"FOTEL  AEROCOOL AC-280 DUKE SZARY";"Dom|Wyposażenie i akcesoria|Fotele gamingowe";69;;70;;cm;product-dims-mm;"Szerokość produktu: 690 mm; Głębokość produktu: 700 mm"
276677222;1494445;"FOTEL AEROCOOL ROYAL AeroWeave ASH BLACK";"Dom|Wyposażenie i akcesoria|Fotele gamingowe";52;133;;;cm;chair-max-seat;"Wysokość (max.): 133 cm; Szerokość siedziska: 52 cm"
276677228;1503913;"Fotel gamingowy Huzaro Force 6.2 Carbon";"Dom|Wyposażenie i akcesoria|Fotele gamingowe";70;;70;;cm;product-dims-mm;"Szerokość produktu: 700 mm; Głębokość produktu: 700 mm"
276677306;1527960;"Fotel gamingowy Force 3.7 Grey";"Dom|Wyposażenie i akcesoria|Fotele gamingowe";60;;;;cm;product-dims-mm;"Szerokość produktu: 600 mm"
